HIRESName,FILENAME,RV
CK00148,,
CK00975,,
CK00299,,
CK00274,,
CK00263,,
CK00283,,
KEPLER106,,
CK00104,,
CK00305,,
CK00082,,
CK00111,,
KEPLER68,,
CK00292,,
CK00261,,
CK00153,,
KIC8866102,,
COROT2,,
HAT5,,
CK00180,,
CK00137,,
KEPLER103,,
CK00070,,
CK00123,,
CK00103,,
CK00084,,
CK00069,,
CK00007,,
HD0737-0797111,,
HD0732-0862104,,
HD27859,,
HD206332*,,
HD3861,,
HD105546,,
HII263,,
HII296,,
BD+374783,,
BD+374784,,
CK00316,,
CK00072,,
WASP84,,
HD161198,,
CK00277,,
CK00260,,
CK00262,,
HD122742,,
HD131511,,
HD131582,,
HD110833,,
HD112758,,
HD90508,,
HD202568,,
HD187013,,
HD162003,,
HD10307,,
HD168151,,
HD162004,,
HD173667,,
HD72760,,
HD25680,,
HD82885,,
HD132254,,
HD130948,,
HD126868,,
HD25893,,
HD42807,,
HIP30220,,
HIP31014,,
HD82328,,
HD78366,,
HD97334,,
HD82074,,
HD78558,,
HD37601,,
HD16895,,
HD30652,,
HD210027,,
HD185351,,
HD122386,,
HD46588,,
HD82443,,
HD19994,,
HD22682,,
HD21019,,
HD34538,,
HD49933,,
HD45506,,
HD39587,,
HD69897,,
HD25975,,
HD23596,,
HD20367,,
HD6582,,
HD215549,,
HTR114-006,,
HD136202,,
CK00701,,
CK00321,,
CK02169,,
CK00245,,
KIC7940546,,
CK02687,,
CK02720,,
CK01925,,
CK01924,,
KIC8552719,,
KIC6779260,,
HD120064,,
HD70843,,
CK00273,,
CK00265,,
KIC12258514,,
KIC12069127,,
KIC12009504,,
KIC11771760,,
KIC11717120,,
KIC11395018,,
KIC11026764,,
KIC10972873,,
KIC10730618,,
KIC10516096,,
KIC10355856,,
KIC9965715,,
KIC9410862,,
KIC9206432,,
KIC9139151,,
KIC8702606,,
KIC8228742,,
KIC8150065,,
KIC8018599,,
KIC7976303,,
KIC7871531,,
KIC7747078,,
KIC7174707,,
KIC6766513,,
KIC6603624,,
KIC6313425,,
KIC6064910,,
KIC5955122,,
KIC5773345,,
KIC5723165,,
KIC5689820,,
KIC5431016,,
KIC3852594,,
KIC3656476,,
KIC3427720,,
KIC2852862,,
CK00041,,
CK01442,,
CK00122,,
CK00085,,
CK01612,,
CK00364,,
CK00244,,
CK00005,,
CK00365,,
CK00087,,
11964A,,
190360,,
33334,,
34887,,
36130,,
51046,,
64324,,
70516,,
41700,,
69960,,
73534,,
33822,r20071124.121,-16286.794921875
38467,,
37986,,
75784,,
69076,,
72905,r20131019.184,-10597.12472322345
109409,r20060416.170,269.2242581110719
109929,,
103890,,
94151,,
75898,,
17354,,
20155,,
18702,,
26257,,
25311,,
24040,,
26965,r20101212.153,13.50094129392377
38858,r20071219.141,-15.180924615460391
34411,r20051122.290,-8.116233763541404
50692,r20081219.228,10.86318110271158
66428,r20080320.144,-83.89037644824596
86728,,
62613,r20051122.346,-9.221551195297486
61994,r20131212.150,-6777.200419899815
75732,r20150626.72,-118.44220446360029
65583,r20051122.352,-13.804233667433438
84117,r20130521.150,-12.51031055389319
92719,r20060412.164,25.810480504502173
104860,r20120401.124,45.044129022954046
110537,r20171226.141,60.16983370519199
100623,r20180626.63,16.22960187396694
111031,r20160812.66,59.49818475000365
115617,,
117497,r20050420.176,17.67069418944902
116442,r20080811.61,-8.784801660295273
149026,r20150729.82,-54.638201636205594
72673,r20071223.221,-9.110573413882904
126583,r20040823.136,-2.733847309003977
106421,r20040823.125,-6.706065680848639
124257B,,
124257A,,
128642,r20100301.258,7788.849711719416
197076,r20090504.139,-11.38012922931046
157347,r20101002.71,-8.269278314718946
157338,r20140811.50,-235.4794873102671
163153,r20050625.173,-3.9933079704697967
159222,r20070604.196,16.86908623101404
164922,r20050228.149,-17.80268931434048
182572,r20140709.81,-9.5061937389422
187923,r20150810.68,-9.410929319339246
196761,,
221354,r20110812.58,-9.519196447852847
HTR364-003,,
164509,r20070806.131,29.611575295348548
168746,r20110622.122,35.203609636540435
167665,r20110526.150,-382.8387174970864
182488,r20180526.80,-21.34636726862652
HTR388-005,,
HTR089-011,,
HTR087-015,,
HTR211-001,,
HTR365-001,,
CK00075,,
8765,r20091201.179,711.5780008823763
105,r20060813.189,53.42718926855088
45410,r20140908.158,41.15466971510915
HTR212-002,,
HTR213-008,,
38529,r20071024.213,288.12252196742537
HTR211-003,,
89793,,
91876,,
98736,,
111814,,
88656,,
108351,,
103459,,
105279,,
HTR433-003,,
HIP32892,,
HIP35093,,
55647,,
87001,,
68017,r20180322.84,233.95770788202333
67767,r20171002.150,-18.18115929568893
56122,r20121009.168,43.427351710847425
61995,r20111209.203,28.255744697113442
62068,r20100403.72,116.9203212559371
74669,r20121002.136,-25.17165420246715
102365,r20070528.119,-6.4017665988266526
96700,r20171226.143,-7.114754089273447
HTR317-002,,
89269,r20151126.72,-14.52603749338189
109358,r20100204.254,-10.80221688244025
127334,r20110709.103,-9.819357421856164
139323,r20170719.62,7.218047036566722
152391,r20170923.62,-23.282332716931283
170657,r20110619.118,-12.545258549056781
97658,r20101225.105,14.74817710853517
KIC5021689,,
KIC9812850,,
KIC10644253,,
10476,r20171225.62,-8.822139167949047
189733,r20090808.184,-262.2887034673003
215032,r20050724.179,-32.63628857607631
12051,r20110219.91,-11.140638634418561
9407,,
7924,r20120306.75,18.76781990848227
12846,r20120306.72,15.23636064969789
18803,r20050821.263,14.319785479686288
24496,,
14412,r20150806.78,-11.535496335673061
40397,r20171108.113,-112.3857979131258
45184,r20090202.119,-12.61730260011518
42618,r20110821.144,-13.164615605862911
52265,r20060312.125,-48.89694251980887
73226,r20110412.86,-5.387456516462294
52711,,
90156,r20051122.371,-9.749250941389828
MARVELS-1,,
13747,r20100305.127,43.03671468985959
20618,r20150830.124,40.36251923784022
24505,r20141210.70,-5128.298580213645
23439,r20121002.95,-11.637788774271678
14855,r20101021.206,7.780320147454282
16559,r20121009.105,23.6846516610003
20675,r20110822.117,-245.512372646811
31664,r20100928.143,-14.69042726139455
201219,r20131023.99,28.652837420520292
219623,r20160902.85,-16.28239371936025
213519,r20050820.194,26.112643595209278
136925,r20170806.56,21.67708890028763
140538A,,
127741,r20150630.62,-68.0585298072204
130048,r20100503.109,12.13618111105217
135872,r20140819.65,67.080427006015
249,r20110727.102,-28.08315062265343
5608,r20140813.134,-41.80483202530754
1770,r20120824.168,-27.066592428320817
8594,r20111015.86,-13.140247949274741
16175,r20130815.121,-36.358123282425105
10145,r20081219.163,7.795266125149696
224032,r20101002.105,229.28879030706483
4628,r20100731.225,-8.140059254909453
745,r20100701.131,-15.858897909335383
1449,r20110123.66,-26.16763376171775
19034,r20160124.107,-5.00868917720436
6512,r20110904.140,-34.288781611553176
5873,r20120827.127,-808.3884361782303
8250,r20101017.170,-40.44389865709722
2816,,
HTR125-017,,
HTR405-001,,
HTR169-010,,
29461,r20041129.171,1863.8922602953878
48345,r20120401.92,-21.35337965600479
45652,r20111008.128,36.01875729786082
217107,,
220554,r20100728.133,-747.5361101160163
223498,r20160125.65,-6.94372592098496
211080,r20160718.128,-15.910157752384288
223315,r20160701.131,-13.77946890211456
216259,r20120903.100,24.45532761299918
216520,r20111116.23,10.971735303328789
49674,,
60234,,
80606,r20100501.65,366.15295845823
84453,r20100403.174,-13.51646098117919
87836,r20171212.109,-8.208493629128073
92266,r20130703.60,-12.574665409119971
94178,r20101228.121,-13.929093884711179
95900,r20100528.75,29.50565548708221
103047,r20130705.66,186.3342301206815
105811,r20130704.60,-1475.147905801404
106314,r20100626.63,-15.37232945031647
WASP8,,
198802,r20050628.84,14.80057076853359
196676,r20140809.80,353.3790462831595
192699,r20110626.123,67.34828319598536
199255,r20100727.108,-8.561657144748576
199381,r20120621.129,-11.85029277366152
206993,r20131213.59,-68.15376226953754
221356,r20100626.150,-9.343421166167387
27530,r20051220.223,-6.054883746589915
31423,r20131117.186,2872.2805114384723
13871,r20120306.65,114.4338213625177
WASP12,,
WASP34,,
114174,r20050419.131,-358.7665823077555
71881,r20041024.249,82.50335259222936
XO-2,,
WASP31,,
214823,r20111109.116,-289.014649975512
217850,r20160725.125,-672.2574973924022
219428,r20070530.208,263.0068317202748
HIP14810,,
37394,r20100329.49,34.80681223413468
80355,r20111112.161,19.10434639233694
86081,r20060114.190,-214.32109276881198
34957,r20121007.139,-387.42037328346635
224983,r20180819.93,-15.71270882816933
3141,r20101021.122,5.194895156072995
4075,r20060716.245,-6.2996403677142325
4741,r20120904.120,4345.978723807045
10790,r20100804.118,-8799.902820198604
11373,r20120809.149,7.0535762648884335
13836,,
17382,r20051219.85,-3881.070324292249
18916,,
21742,r20120402.131,-5.406767750732908
HIP21276,,
14651,,
224693,,
101847,r20060210.238,43.92507360911286
102195,r20150726.74,-74.71081541738351
2589,r20170730.109,-6.677863694456158
4747,r20180819.99,-232.45012170118457
221851,r20170121.65,-12.3720783250278
221822,r20060115.112,-4.271385572934399
11131,r20100803.111,-2287.510438634044
18436B,,
18436A,,
43162,r20121204.58,39.034533636457
115404A,,
134353,,
140913,r20060312.176,-853.9571219948049
141272,r20170730.69,67.34533128141163
8553,r20070831.192,-15.833318711666212
13483,,
19019,r20100901.142,25.725297765754533
19668,r20081207.143,54.40683747806115
25457,r20120828.109,54.13720116707146
HIP20218,,
28237,r20080910.238,48.913633514217175
133295,,
143006,r20080720.140,227.71849377866081
152555,r20110615.80,-63.46665541743933
145229,r20090603.84,-20.80411335468603
149724,r20180729.73,9.549108503208801
153458,r20160708.67,-17.81430971818486
139813,r20090601.238,-66.56247878702611
150706,r20120407.217,-24.555291063397284
161897,r20110615.67,-6.7241027578197645
138004,r20090702.122,8164.744805840551
134319,r20100204.247,-117.70512300285591
76218,r20041230.203,-28.69346207598616
92855,r20050225.199,-6595.233313112953
107146,r20120624.87,37.03461814031363
187897,r20120410.197,26.315212642235107
195034,r20040823.178,8.148859316926007
203030,r20120621.109,51.711819058114315
206374,r20050820.184,30.592712370421648
209393,r20130715.115,-31.46344021561593
199019,r20040823.181,-64.51059483149875
216275,r20130809.121,-9.900689182731867
219498,r20180801.90,-68.378821112342
183216,r20090702.185,-18.31422779009409
199260,r20130825.104,-50.892327059981454
209253,r20060906.169,62.49646394656106
202917,r20050629.115,-283.7229357336303
201989,r20090606.191,21.72103284091034
205905,r20040823.201,-20.60462189020087
101472,,
98553,r20120623.81,-10.07595373658672
104800,r20120526.110,-5.3099806675014225
101959,r20160617.66,14.77839537467661
102071,r20041230.256,-1474.018544820023
8907,r20080810.180,-50.962202983164346
6963,r20110615.88,-32.37868648560053
8467,r20080810.179,-14.90986595622691
691,r20060714.31,-19.75153389687836
9472,r20120709.170,15.785135638332038
11850,r20081207.87,45.64513278404155
377,r20050130.115,-94.74597548166288
6558,r20180807.96,190.7998140030999
HIP5938,,
HIP6276,,
204277,r20091231.66,34.578688823853305
196201,,
196885,,
BD+262091,,
HIP94931,,
TRES3,,
TRES-4,,
KEPLER-411,,
137368,r20120707.69,566.0207008837591
142091,r20110313.183,-38.181997383108104
143174,r20050725.130,-25.19258105889205
145675,r20090406.90,112.0394484207113
8375,r20150802.133,5338.81445942251
12974,,
210702,r20161223.62,51.378164927625754
210373,r20120105.66,23.014196301671873
216722,r20100630.138,-12.77451785527045
218935,r20120105.62,952.729395302782
222089,r20101021.109,20.0794139639032
223869,r20140910.150,-50.00415295784622
HIP117946,,
222697,r20070824.265,16.13852575152811
5133,r20070131.112,7.708218160191847
WASP18,,
BD+312447,,
HIP6339,,
10995,,
12661,r20101021.129,109.92306074374778
24365,r20101021.128,-9.606314996442904
190571,r20100726.118,-8.645852978941136
194110,r20100726.105,-14.474773951956749
191359,,
199580,r20110613.74,-23.647446701312898
19467,r20130825.136,-10.81381845353363
24892,r20171224.80,-7.6391787707101715
WASP4,,
WASP15,,
26161,r20060905.255,-39.62805375867174
30649,r20080913.221,981.5661597760308
37006,r20121002.128,-26.77318326467383
108874,r20100101.183,-55.349958170024344
122517,r20130803.63,4287.671864316744
126990,r20100428.136,7.512207012168503
68168,r20071227.254,26.69287329928576
69809,r20160126.102,-9.212051298051351
103813,r20100628.103,-13.98037417309956
87424,r20080321.137,-17.29186538640042
97343,r20071227.288,-9.166563966802585
KIC8435766,,
180684,r20040823.154,-511.94757242985185
1388,r20050822.206,-90.07917271981752
16702,r20140728.94,-2446.980394648087
129191,r20130716.68,-49.8614410863759
211681,r20050820.190,1018.2848345756239
31018,r20050224.131,-30.854130653293737
244992,r20051119.204,19.65355598801465
116956,r20070530.121,-108.9762734996611
95088,r20140221.160,22.22766135686678
110897,r20100729.65,13.92478969719719
144287,r20140707.104,2001.1968007002858
6872B,,
13579,r20100805.125,25.1752997043119
10780,r20101214.83,-8.397522744650985
9518A,,
WASP38,,
WASP24,,
9218,r20140117.173,-18.268747100823802
203473,r20180730.110,726.9376501083673
171238,r20140812.93,40.815904945177174
200565,r20080913.112,-1507.805757892327
44420,r20170411.76,-6.535231360230597
22049,r20131212.107,30.57870194989047
121320,r20120213.181,-9.007838135961128
51419,r20101215.155,-11.7092783223366
18143,r20180819.103,40.88472453723887
19308,r20081218.179,6.766411608261193
79498,,
28185,,
29528,r20101212.158,-11.443463540136358
31966,r20101212.169,-8.012301006070977
33021,r20120903.145,-15.93445377705478
34745,r20170317.60,-7.750588033161278
35627,r20161111.76,-4.861013428049914
35974,r20061015.265,-8.754021934130776
37213,r20041024.236,-7.626089242494771
37962,r20041024.233,4.834403191438284
43745,r20101228.92,-7.003659384575617
45067,r20101229.65,17.971185938480712
36308,r20121007.148,31.062834700328242
44985,r20160204.129,-8.168661276386262
52456,r20160124.120,-6.786643807231486
32850,,
35112,,
80367,r20161123.134,-9.28225267950222
71479,r20171212.132,-8.258536533064046
63754,r20041129.238,25.027063859367424
56274,,
45588,r20101228.82,-7.988644977939185
48938,r20101228.78,-6.674455418448666
50806,r20050130.146,-5.309501943573075
51219,r20101121.167,-6.632031081253358
56303,,
67458,r20161125.124,-6.044792672707344
68978,r20101121.197,12.746130862982449
71334,r20160126.103,-5.07210267987519
76909,r20161123.125,-5.0424038512771014
58781,r20161017.137,-7.199802494470532
135599,,
131156,,
9446,r20160717.129,-117.4569631846047
30339,r20051122.288,605.5340200965347
30708,r20170730.104,-7.875340743102868
34575,r20121007.182,-5.959585834443942
42250,r20041023.234,-4.723021465769506
66171,r20120402.165,-9.96515711340844
233641,,
263175,r20151001.101,-6.94042410815274
59747,,
53927,r20151128.99,-10.08836548199997
165341A,,
16623,r20060905.237,-6.586717556874263
18445,r20171229.86,-1354.560436713939
12235,r20160729.146,-6.497936877513808
16287,r20160124.109,4005.89152131374
16275,r20080826.207,-8.346423019707489
13357,,
17190,r20171225.67,-6.546897390493744
16397,r20160711.118,-5.826234941147959
21313,r20180820.97,-10.17636806892389
21847,r20161121.127,50.6117424761822
24213,r20050128.178,-8.207472490152611
21774,r20171108.103,-8.581181884854267
22072,r20111017.215,-9.471324061850536
18632,r20100802.138,26.699632096731985
22282,r20120924.123,-6.550047696394756
HTR333-003,,
HTR285-001,,
HTR431-010,,
HTR114-009,,
101501,r20091207.240,32.35782447067848
111395,r20091207.243,-24.263928831660422
96612,r20140717.65,-10.318255436277369
K00157,,
130307,r20160921.68,17.28250251926944
110463,r20160127.137,-17.90050105271682
112914,r20170706.68,-5437.0097642882765
144872,r20170204.121,7.82556842636204
153525,r20170204.122,24.92802147099064
137778,r20140709.62,-22.472217402670196
2331,r20060715.207,3.8870443951992972
8828,r20050821.252,8.87278540583906
HTR205-23,,
HTR205-22,,
215274,,
145958B,,
83752,r20060114.189,-5751.117014826904
104389,r20060213.199,16.47481631796357
104263,r20060710.122,-3.682411941580169
110743,,
HIP61205,,
133125,r20060710.133,-2.6402862444390283
161284,r20060813.139,24.725059095072762
147752,r20060715.149,9.63453696408324
HIP87579,,
HIP91605,,
175742,r20150830.60,-4034.476155379557
129814,r20180814.69,137.1021594544236
142229,r20160126.160,358.7080060430378
HTR248-002,,
14214,,
KIC7842033,,
HTR062-011,,
202575,r20140715.126,-22.94030649883098
181234,r20140822.74,59.91666579691177
HTR093-012,,
HTR170-004,,
3684,r20070806.167,227.4110641223031
8038,r20160716.133,-12.490920033684931
9540A,,
30495,r20141211.101,30.18800542108568
EPIC202089657,,
EPIC201713348,,
101904,r20060412.178,-25.040114088338928
98281,r20060209.204,-10.57598685505582
159062,r20180819.67,-107.7574772863216
97854,r20060213.196,11.41269239213775
95622,r20060214.111,35.56666288191897
170469,r20070824.271,-18.56578164330728
85689,r20060213.172,-115.67500776482642
107181,,
122973,r20080323.281,38.607185411384286
154144,r20080323.289,-67.27803942575792
20439,r20060213.109,41.07649623125326
10008,r20170804.97,-18.181767872312072
164595,r20140726.63,-8.348772312165966
EPIC203771098,,
KIC8410697,,
EPIC201505350,,
146233,,
EPIC205071984,,
EPIC204221263,,
EPIC203826436,,
EPIC204129699,,
106088,r20070604.175,7.065647243763522
112415,,
HIP68461,,
136274,,
146050,,
147750,,
155712,r20090413.140,-9.222917861795047
166,r20061215.165,39.688166024948
17156,r20080320.108,-358.6150861638982
19659,r20040823.245,-32.187670274697034
HIP14113,,
141399,r20120526.101,-96.1273417511882
142626,,
155456,,
161479,,
HIP79308,,
156279,r20131020.73,-706.3377979443343
HIP92922,,
168603,,
185414,r20130520.161,-2424.290451395754
